"year","teamName","LeagueAbbr"
2010,"Arkansas State","SBC"
2011,"Arkansas State","SBC"
2012,"Arkansas State","SBC"
2013,"Arkansas State","SBC"
2014,"Arkansas State","SBC"
2015,"Arkansas State","SBC"
2016,"Arkansas State","SBC"
2017,"Arkansas State","SBC"
2018,"Arkansas State","SBC"
2019,"Arkansas State","SBC"
2020,"Arkansas State","SBC"
2010,"Army","Patriot"
2011,"Army","Patriot"
2012,"Army","Patriot"
2013,"Army","Patriot"
2014,"Army","Patriot"
2015,"Army","Patriot"
2016,"Army","Patriot"
2017,"Army","Patriot"
2018,"Army","Patriot"
2019,"Army","Patriot"
2020,"Army","Patriot"
2010,"Auburn","SEC"
2011,"Auburn","SEC"
2012,"Auburn","SEC"
2013,"Auburn","SEC"
2014,"Auburn","SEC"
2015,"Auburn","SEC"
2016,"Auburn","SEC"
2017,"Auburn","SEC"
2018,"Auburn","SEC"
2019,"Auburn","SEC"
2020,"Auburn","SEC"
2010,"Austin Peay","OVC"
2011,"Austin Peay","OVC"
2012,"Austin Peay","OVC"
2013,"Austin Peay","OVC"
2014,"Austin Peay","OVC"
2015,"Austin Peay","OVC"
2016,"Austin Peay","OVC"
2017,"Austin Peay","OVC"
2018,"Austin Peay","OVC"
2019,"Austin Peay","OVC"
2020,"Austin Peay","OVC"
2010,"Ball State","MAC"
2011,"Ball State","MAC"
2012,"Ball State","MAC"
2013,"Ball State","MAC"
2014,"Ball State","MAC"
2015,"Ball State","MAC"
2016,"Ball State","MAC"
2017,"Ball State","MAC"
2018,"Ball State","MAC"
2019,"Ball State","MAC"
2020,"Ball State","MAC"
2010,"Baylor","Big12"
2011,"Baylor","Big12"
2012,"Baylor","Big12"
2013,"Baylor","Big12"
2014,"Baylor","Big12"
2015,"Baylor","Big12"
2016,"Baylor","Big12"
2017,"Baylor","Big12"
2018,"Baylor","Big12"
2019,"Baylor","Big12"
2020,"Baylor","Big12"
2010,"Belmont","AtlSun"
2011,"Belmont","AtlSun"
2012,"Belmont","AtlSun"
2013,"Belmont","OVC"
2014,"Belmont","OVC"
2015,"Belmont","OVC"
2016,"Belmont","OVC"
2017,"Belmont","OVC"
2018,"Belmont","OVC"
2019,"Belmont","OVC"
2020,"Belmont","OVC"
2010,"Bethune-Cookman","MEAC"
2011,"Bethune-Cookman","MEAC"
2012,"Bethune-Cookman","MEAC"
2013,"Bethune-Cookman","MEAC"
2014,"Bethune-Cookman","MEAC"
2015,"Bethune-Cookman","MEAC"
2016,"Bethune-Cookman","MEAC"
2017,"Bethune-Cookman","MEAC"
2018,"Bethune-Cookman","MEAC"
2019,"Bethune-Cookman","MEAC"
2020,"Bethune-Cookman","MEAC"
2010,"Binghamton","AmEast"
2011,"Binghamton","AmEast"
2012,"Binghamton","AmEast"
2013,"Binghamton","AmEast"
2014,"Binghamton","AmEast"
2015,"Binghamton","AmEast"
2016,"Binghamton","AmEast"
2017,"Binghamton","AmEast"
2018,"Binghamton","AmEast"
2019,"Binghamton","AmEast"
2020,"Binghamton","AmEast"
2020,"Boise State","MWC"
2010,"Boston College","ACC"
2011,"Boston College","ACC"
2012,"Boston College","ACC"
2013,"Boston College","ACC"
2014,"Boston College","ACC"
2015,"Boston College","ACC"
2016,"Boston College","ACC"
2017,"Boston College","ACC"
2018,"Boston College","ACC"
2019,"Boston College","ACC"
2020,"Boston College","ACC"
2010,"Bowling Green State","MAC"
2011,"Bowling Green State","MAC"
2012,"Bowling Green State","MAC"
2013,"Bowling Green State","MAC"
2014,"Bowling Green State","MAC"
2015,"Bowling Green State","MAC"
2016,"Bowling Green State","MAC"
2017,"Bowling Green State","MAC"
2018,"Bowling Green State","MAC"
2019,"Bowling Green State","MAC"
2020,"Bowling Green State","MAC"
2010,"Bradley","MVC"
2011,"Bradley","MVC"
2012,"Bradley","MVC"
2013,"Bradley","MVC"
2014,"Bradley","MVC"
2015,"Bradley","MVC"
2016,"Bradley","MVC"
2017,"Bradley","MVC"
2018,"Bradley","MVC"
2019,"Bradley","MVC"
2020,"Bradley","MVC"
2013,"Briar Cliff University","Plains"
2014,"Briar Cliff University","Plains"
2015,"Briar Cliff University","Plains"
2017,"Briar Cliff University","Plains"
2010,"Brigham Young","MWC"
2011,"Brigham Young","MWC"
2012,"Brigham Young","WCC"
2013,"Brigham Young","WCC"
2014,"Brigham Young","WCC"
2015,"Brigham Young","WCC"
2016,"Brigham Young","WCC"
2017,"Brigham Young","WCC"
2018,"Brigham Young","WCC"
2019,"Brigham Young","WCC"
2020,"Brigham Young","WCC"
2010,"Brown","Ivy"
2011,"Brown","Ivy"
2012,"Brown","Ivy"
2013,"Brown","Ivy"
2014,"Brown","Ivy"
2015,"Brown","Ivy"
2016,"Brown","Ivy"
2017,"Brown","Ivy"
2018,"Brown","Ivy"
2019,"Brown","Ivy"
2020,"Brown","Ivy"
2010,"Bryant University","NEC"
2011,"Bryant University","NEC"
2012,"Bryant University","NEC"
2013,"Bryant University","NEC"
2014,"Bryant University","NEC"
2015,"Bryant University","NEC"
2016,"Bryant University","NEC"
2017,"Bryant University","NEC"
2018,"Bryant University","NEC"
2019,"Bryant University","NEC"
2020,"Bryant University","NEC"
2010,"Bucknell","Patriot"
2011,"Bucknell","Patriot"
2012,"Bucknell","Patriot"
2013,"Bucknell","Patriot"
2014,"Bucknell","Patriot"
2015,"Bucknell","Patriot"
2016,"Bucknell","Patriot"
2017,"Bucknell","Patriot"
2018,"Bucknell","Patriot"
2019,"Bucknell","Patriot"
2020,"Bucknell","Patriot"
2010,"Butler","Horiz"
2011,"Butler","Horiz"
2012,"Butler","Horiz"
2014,"Butler","BigEast"
2015,"Butler","BigEast"
2016,"Butler","BigEast"
2017,"Butler","BigEast"
2018,"Butler","BigEast"
2019,"Butler","BigEast"
2020,"Butler","BigEast"
2010,"Cal Poly","BigWest"
2011,"Cal Poly","BigWest"
2012,"Cal Poly","BigWest"
2013,"Cal Poly","BigWest"
2014,"Cal Poly","BigWest"
2015,"Cal Poly","BigWest"
2016,"Cal Poly","BigWest"
2017,"Cal Poly","BigWest"
2018,"Cal Poly","BigWest"
2019,"Cal Poly","BigWest"
2020,"Cal Poly","BigWest"
2010,"Cal State Bakersfield","IndyNCAA"
2011,"Cal State Bakersfield","IndyNCAA"
2012,"Cal State Bakersfield","IndyNCAA"
2013,"Cal State Bakersfield","WAC"
2014,"Cal State Bakersfield","WAC"
2015,"Cal State Bakersfield","WAC"
2016,"Cal State Bakersfield","WAC"
2017,"Cal State Bakersfield","WAC"
2018,"Cal State Bakersfield","WAC"
2019,"Cal State Bakersfield","WAC"
2020,"Cal State Bakersfield","WAC"
2010,"Cal State Fullerton","BigWest"
2011,"Cal State Fullerton","BigWest"
2012,"Cal State Fullerton","BigWest"
2013,"Cal State Fullerton","BigWest"
2014,"Cal State Fullerton","BigWest"
2015,"Cal State Fullerton","BigWest"
2016,"Cal State Fullerton","BigWest"
2017,"Cal State Fullerton","BigWest"
2018,"Cal State Fullerton","BigWest"
2019,"Cal State Fullerton","BigWest"
2020,"Cal State Fullerton","BigWest"
2010,"Cal State Northridge","BigWest"
2011,"Cal State Northridge","BigWest"
2012,"Cal State Northridge","BigWest"
2013,"Cal State Northridge","BigWest"
2014,"Cal State Northridge","BigWest"
2015,"Cal State Northridge","BigWest"
2016,"Cal State Northridge","BigWest"
2017,"Cal State Northridge","BigWest"
2018,"Cal State Northridge","BigWest"
2019,"Cal State Northridge","BigWest"
2020,"Cal State Northridge","BigWest"
2010,"California","Pac10"
2011,"California","Pac10"
2012,"California","Pac10"
2013,"California","Pac12"
2014,"California","Pac12"
2015,"California","Pac12"
2016,"California","Pac12"
2017,"California","Pac12"
2018,"California","Pac12"
2019,"California","Pac12"
2020,"California","Pac12"
2019,"California Baptist","WAC"
2020,"California Baptist","WAC"
2010,"Campbell","AtlSun"
2011,"Campbell","AtlSun"
2012,"Campbell","BigSou"
2013,"Campbell","BigSou"
2014,"Campbell","BigSou"
2015,"Campbell","BigSou"
2016,"Campbell","BigSou"
2017,"Campbell","BigSou"
2018,"Campbell","BigSou"
2019,"Campbell","BigSou"
2020,"Campbell","BigSou"
2010,"Canisius College","MAAC"
2011,"Canisius College","MAAC"
2012,"Canisius College","MAAC"
2013,"Canisius College","MAAC"
2014,"Canisius College","MAAC"
2015,"Canisius College","MAAC"
2016,"Canisius College","MAAC"
2017,"Canisius College","MAAC"
2018,"Canisius College","MAAC"
2019,"Canisius College","MAAC"
2020,"Canisius College","MAAC"
2010,"Centenary College","Summ"
2011,"Centenary College","Summ"
2010,"Central Arkansas","Sthland"
2011,"Central Arkansas","Sthland"
2012,"Central Arkansas","Sthland"
2013,"Central Arkansas","Sthland"
2014,"Central Arkansas","Sthland"
2015,"Central Arkansas","Sthland"
2016,"Central Arkansas","Sthland"
2017,"Central Arkansas","Sthland"
2018,"Central Arkansas","Sthland"
2019,"Central Arkansas","Sthland"
2020,"Central Arkansas","Sthland"
2010,"Central Ct State","NEC"
2011,"Central Ct State","NEC"
2012,"Central Ct State","NEC"
2013,"Central Ct State","NEC"
2014,"Central Ct State","NEC"
2015,"Central Ct State","NEC"
2016,"Central Ct State","NEC"
2017,"Central Ct State","NEC"
2018,"Central Ct State","NEC"
2019,"Central Ct State","NEC"
2020,"Central Ct State","NEC"
2010,"Central Florida","ConfUSA"
2011,"Central Florida","ConfUSA"
2012,"Central Florida","ConfUSA"
2013,"Central Florida","ConfUSA"
2014,"Central Florida","AAC"
2015,"Central Florida","AAC"
2016,"Central Florida","AAC"
2017,"Central Florida","AAC"
2018,"Central Florida","AAC"
2019,"Central Florida","AAC"
2020,"Central Florida","AAC"
2010,"Central Michigan","MAC"
2011,"Central Michigan","MAC"
2012,"Central Michigan","MAC"
2013,"Central Michigan","MAC"
2014,"Central Michigan","MAC"
2015,"Central Michigan","MAC"
2016,"Central Michigan","MAC"
2017,"Central Michigan","MAC"
2018,"Central Michigan","MAC"
2019,"Central Michigan","MAC"
2020,"Central Michigan","MAC"
2010,"Charleston Southern","BigSou"
2011,"Charleston Southern","BigSou"
2012,"Charleston Southern","BigSou"
2013,"Charleston Southern","BigSou"
2014,"Charleston Southern","BigSou"
2015,"Charleston Southern","BigSou"
2016,"Charleston Southern","BigSou"
2017,"Charleston Southern","BigSou"
2018,"Charleston Southern","BigSou"
2019,"Charleston Southern","BigSou"
2020,"Charleston Southern","BigSou"
2010,"Chicago State","GWC"
2011,"Chicago State","GWC"
2012,"Chicago State","GWC"
2013,"Chicago State","GWC"
2014,"Chicago State","WAC"
2015,"Chicago State","WAC"
2016,"Chicago State","WAC"
2017,"Chicago State","WAC"
2018,"Chicago State","WAC"
2019,"Chicago State","WAC"
2020,"Chicago State","WAC"
2018,"Chowan","IndyNCAA"
2010,"Cincinnati","BigEast"
2011,"Cincinnati","BigEast"
2012,"Cincinnati","BigEast"
2013,"Cincinnati","BigEast"
2014,"Cincinnati","AAC"
2015,"Cincinnati","AAC"
2016,"Cincinnati","AAC"
2017,"Cincinnati","AAC"
2018,"Cincinnati","AAC"
2019,"Cincinnati","AAC"
2020,"Cincinnati","AAC"
2010,"Clemson","ACC"
2011,"Clemson","ACC"
2012,"Clemson","ACC"
2013,"Clemson","ACC"
2014,"Clemson","ACC"
2015,"Clemson","ACC"
2016,"Clemson","ACC"
2017,"Clemson","ACC"
2018,"Clemson","ACC"
2019,"Clemson","ACC"
2020,"Clemson","ACC"
2010,"Cleveland State","Horiz"
2011,"Cleveland State","Horiz"
2010,"Coastal Carolina","BigSou"
2011,"Coastal Carolina","BigSou"
2012,"Coastal Carolina","BigSou"
2013,"Coastal Carolina","BigSou"
2014,"Coastal Carolina","BigSou"
2015,"Coastal Carolina","BigSou"
2016,"Coastal Carolina","BigSou"
2017,"Coastal Carolina","SBC"
2018,"Coastal Carolina","SBC"
2019,"Coastal Carolina","SBC"
2020,"Coastal Carolina","SBC"
2010,"College of Charleston","SoCon"
2011,"College of Charleston","SoCon"
2012,"College of Charleston","SoCon"
2013,"College of Charleston","SoCon"
2014,"College of Charleston","CAA"
2015,"College of Charleston","CAA"
2016,"College of Charleston","CAA"
2017,"College of Charleston","CAA"
2018,"College of Charleston","CAA"
2019,"College of Charleston","CAA"
2020,"College of Charleston","CAA"
2010,"Columbia","Ivy"
2011,"Columbia","Ivy"
2012,"Columbia","Ivy"
2013,"Columbia","Ivy"
2014,"Columbia","Ivy"
2015,"Columbia","Ivy"
2016,"Columbia","Ivy"
2017,"Columbia","Ivy"
2018,"Columbia","Ivy"
2019,"Columbia","Ivy"
2020,"Columbia","Ivy"
2010,"Connecticut","BigEast"
2011,"Connecticut","BigEast"
2012,"Connecticut","BigEast"
2013,"Connecticut","BigEast"
2014,"Connecticut","AAC"
2015,"Connecticut","AAC"
2016,"Connecticut","AAC"
2017,"Connecticut","AAC"
2018,"Connecticut","AAC"
2019,"Connecticut","AAC"
2020,"Connecticut","AAC"
2010,"Coppin State College","MEAC"
2011,"Coppin State College","MEAC"
2012,"Coppin State College","MEAC"
2013,"Coppin State College","MEAC"
2014,"Coppin State College","MEAC"
2015,"Coppin State College","MEAC"
2016,"Coppin State College","MEAC"
2017,"Coppin State College","MEAC"
2018,"Coppin State College","MEAC"
2019,"Coppin State College","MEAC"
2020,"Coppin State College","MEAC"
2010,"Cornell","Ivy"
2011,"Cornell","Ivy"
2012,"Cornell","Ivy"
2013,"Cornell","Ivy"
2014,"Cornell","Ivy"
2015,"Cornell","Ivy"
2016,"Cornell","Ivy"
2017,"Cornell","Ivy"
2018,"Cornell","Ivy"
2019,"Cornell","Ivy"
2020,"Cornell","Ivy"
2010,"Creighton","MVC"
2011,"Creighton","MVC"
2012,"Creighton","MVC"
2013,"Creighton","MVC"
2014,"Creighton","BigEast"
2015,"Creighton","BigEast"
2016,"Creighton","BigEast"
2017,"Creighton","BigEast"
2018,"Creighton","BigEast"
2019,"Creighton","BigEast"
2020,"Creighton","BigEast"
2010,"Dallas Baptist","IndyNCAA"
2011,"Dallas Baptist","IndyNCAA"
2012,"Dallas Baptist","IndyNCAA"
2013,"Dallas Baptist","WAC"
2014,"Dallas Baptist","MVC"
2015,"Dallas Baptist","MVC"
2016,"Dallas Baptist","MVC"
2017,"Dallas Baptist","MVC"
2018,"Dallas Baptist","MVC"
2019,"Dallas Baptist","MVC"
2020,"Dallas Baptist","MVC"
2010,"Dartmouth","Ivy"
2011,"Dartmouth","Ivy"
2012,"Dartmouth","Ivy"
2013,"Dartmouth","Ivy"
2014,"Dartmouth","Ivy"
2015,"Dartmouth","Ivy"
2016,"Dartmouth","Ivy"
2017,"Dartmouth","Ivy"
2018,"Dartmouth","Ivy"
2019,"Dartmouth","Ivy"
2020,"Dartmouth","Ivy"
2010,"Davidson College","SoCon"
2011,"Davidson College","SoCon"
2012,"Davidson College","SoCon"
2013,"Davidson College","SoCon"
2014,"Davidson College","SoCon"
2015,"Davidson College","Atl10"
2016,"Davidson College","Atl10"
2017,"Davidson College","Atl10"
2018,"Davidson College","Atl10"
2019,"Davidson College","Atl10"
2020,"Davidson College","Atl10"
2010,"Dayton","Atl10"
2011,"Dayton","Atl10"
2012,"Dayton","Atl10"
2013,"Dayton","Atl10"
2014,"Dayton","Atl10"
2015,"Dayton","Atl10"
2016,"Dayton","Atl10"
2017,"Dayton","Atl10"
2018,"Dayton","Atl10"
2019,"Dayton","Atl10"
2020,"Dayton","Atl10"
2010,"Delaware","CAA"
2011,"Delaware","CAA"
2012,"Delaware","CAA"
2013,"Delaware","CAA"
2014,"Delaware","CAA"
2015,"Delaware","CAA"
2016,"Delaware","CAA"
2017,"Delaware","CAA"
2018,"Delaware","CAA"
2019,"Delaware","CAA"
2020,"Delaware","CAA"
2010,"Delaware State","MEAC"
2011,"Delaware State","MEAC"
2012,"Delaware State","MEAC"
2013,"Delaware State","MEAC"
2014,"Delaware State","MEAC"
2015,"Delaware State","MEAC"
2016,"Delaware State","MEAC"
2017,"Delaware State","MEAC"
2018,"Delaware State","MEAC"
2019,"Delaware State","MEAC"
2020,"Delaware State","MEAC"
2010,"Duke","ACC"
2011,"Duke","ACC"
2012,"Duke","ACC"
2013,"Duke","ACC"
2014,"Duke","ACC"
2015,"Duke","ACC"
2016,"Duke","ACC"
2017,"Duke","ACC"
2018,"Duke","ACC"
2019,"Duke","ACC"
2020,"Duke","ACC"
2010,"Duquesne","Atl10"
2010,"East Carolina","ConfUSA"
2011,"East Carolina","ConfUSA"
2012,"East Carolina","ConfUSA"
2013,"East Carolina","ConfUSA"
2014,"East Carolina","ConfUSA"
2015,"East Carolina","AAC"
2016,"East Carolina","AAC"
2017,"East Carolina","AAC"
2018,"East Carolina","AAC"
2019,"East Carolina","AAC"
2020,"East Carolina","AAC"
2010,"East Tennessee State","AtlSun"
2011,"East Tennessee State","AtlSun"
2012,"East Tennessee State","AtlSun"
2013,"East Tennessee State","AtlSun"
2014,"East Tennessee State","AtlSun"
2015,"East Tennessee State","SoCon"
2016,"East Tennessee State","SoCon"
2017,"East Tennessee State","SoCon"
2018,"East Tennessee State","SoCon"
2019,"East Tennessee State","SoCon"
2020,"East Tennessee State","SoCon"
2010,"Eastern Illinois","OVC"
2011,"Eastern Illinois","OVC"
2012,"Eastern Illinois","OVC"
2013,"Eastern Illinois","OVC"
2014,"Eastern Illinois","OVC"
2015,"Eastern Illinois","OVC"
2016,"Eastern Illinois","OVC"
2017,"Eastern Illinois","OVC"
2018,"Eastern Illinois","OVC"
2019,"Eastern Illinois","OVC"
2020,"Eastern Illinois","OVC"
2010,"Eastern Kentucky","OVC"
2011,"Eastern Kentucky","OVC"
2012,"Eastern Kentucky","OVC"
2013,"Eastern Kentucky","OVC"
2014,"Eastern Kentucky","OVC"
2015,"Eastern Kentucky","OVC"
2016,"Eastern Kentucky","OVC"
2017,"Eastern Kentucky","OVC"
2018,"Eastern Kentucky","OVC"
2019,"Eastern Kentucky","OVC"
2020,"Eastern Kentucky","OVC"
2010,"Eastern Michigan","MAC"
2011,"Eastern Michigan","MAC"
2012,"Eastern Michigan","MAC"
2013,"Eastern Michigan","MAC"
2014,"Eastern Michigan","MAC"
2015,"Eastern Michigan","MAC"
2016,"Eastern Michigan","MAC"
2017,"Eastern Michigan","MAC"
2018,"Eastern Michigan","MAC"
2019,"Eastern Michigan","MAC"
2020,"Eastern Michigan","MAC"
2010,"Elon","SoCon"
2011,"Elon","SoCon"
2012,"Elon","SoCon"
2013,"Elon","SoCon"
2014,"Elon","SoCon"
2015,"Elon","CAA"
2016,"Elon","CAA"
2017,"Elon","CAA"
2018,"Elon","CAA"
2019,"Elon","CAA"
2020,"Elon","CAA"
2010,"Evansville","MVC"
2011,"Evansville","MVC"
2012,"Evansville","MVC"
2013,"Evansville","MVC"
2014,"Evansville","MVC"
2015,"Evansville","MVC"
2016,"Evansville","MVC"
2017,"Evansville","MVC"
2018,"Evansville","MVC"
2019,"Evansville","MVC"
2020,"Evansville","MVC"
2010,"Fairfield","MAAC"
2011,"Fairfield","MAAC"
2012,"Fairfield","MAAC"
2013,"Fairfield","MAAC"
2014,"Fairfield","MAAC"
2015,"Fairfield","MAAC"
2016,"Fairfield","MAAC"
2017,"Fairfield","MAAC"
2018,"Fairfield","MAAC"
2019,"Fairfield","MAAC"
2020,"Fairfield","MAAC"
2010,"Fairleigh Dickinson","NEC"
2011,"Fairleigh Dickinson","NEC"
2012,"Fairleigh Dickinson","NEC"
2013,"Fairleigh Dickinson","NEC"
2014,"Fairleigh Dickinson","NEC"
2015,"Fairleigh Dickinson","NEC"
2016,"Fairleigh Dickinson","NEC"
2017,"Fairleigh Dickinson","NEC"
2018,"Fairleigh Dickinson","NEC"
2019,"Fairleigh Dickinson","NEC"
2020,"Fairleigh Dickinson","NEC"
2010,"Florida","SEC"
2011,"Florida","SEC"
2012,"Florida","SEC"
2013,"Florida","SEC"
2014,"Florida","SEC"
2015,"Florida","SEC"
2016,"Florida","SEC"
2017,"Florida","SEC"
2018,"Florida","SEC"
2019,"Florida","SEC"
2020,"Florida","SEC"
2010,"Florida A&M","MEAC"
2011,"Florida A&M","MEAC"
2012,"Florida A&M","MEAC"
2013,"Florida A&M","MEAC"
2014,"Florida A&M","MEAC"
2015,"Florida A&M","MEAC"
2016,"Florida A&M","MEAC"
2017,"Florida A&M","MEAC"
2018,"Florida A&M","MEAC"
2019,"Florida A&M","MEAC"
2020,"Florida A&M","MEAC"
2010,"Florida Atlantic","SBC"
2011,"Florida Atlantic","SBC"
2012,"Florida Atlantic","SBC"
2013,"Florida Atlantic","SBC"
2014,"Florida Atlantic","ConfUSA"
2015,"Florida Atlantic","ConfUSA"
2016,"Florida Atlantic","ConfUSA"
2017,"Florida Atlantic","ConfUSA"
2018,"Florida Atlantic","ConfUSA"
2019,"Florida Atlantic","ConfUSA"
2020,"Florida Atlantic","ConfUSA"
2010,"Florida Gulf Coast","AtlSun"
2011,"Florida Gulf Coast","AtlSun"
2012,"Florida Gulf Coast","AtlSun"
2013,"Florida Gulf Coast","AtlSun"
2014,"Florida Gulf Coast","AtlSun"
2015,"Florida Gulf Coast","AtlSun"
2016,"Florida Gulf Coast","AtlSun"
2017,"Florida Gulf Coast","AtlSun"
2018,"Florida Gulf Coast","AtlSun"
2019,"Florida Gulf Coast","AtlSun"
2020,"Florida Gulf Coast","AtlSun"
2010,"Florida Intl","SBC"
2011,"Florida Intl","SBC"
2012,"Florida Intl","SBC"
2013,"Florida Intl","SBC"
2014,"Florida Intl","ConfUSA"
2015,"Florida Intl","ConfUSA"
2016,"Florida Intl","ConfUSA"
2017,"Florida Intl","ConfUSA"
2018,"Florida Intl","ConfUSA"
2019,"Florida Intl","ConfUSA"
2020,"Florida Intl","ConfUSA"
2010,"Florida State","ACC"
2011,"Florida State","ACC"
2012,"Florida State","ACC"
2013,"Florida State","ACC"
2014,"Florida State","ACC"
2015,"Florida State","ACC"
2016,"Florida State","ACC"
2017,"Florida State","ACC"
2018,"Florida State","ACC"
2019,"Florida State","ACC"
2020,"Florida State","ACC"
2010,"Fordham","Atl10"
2011,"Fordham","Atl10"
2012,"Fordham","Atl10"
2013,"Fordham","Atl10"
2014,"Fordham","Atl10"
2015,"Fordham","Atl10"
2016,"Fordham","Atl10"
2017,"Fordham","Atl10"
2018,"Fordham","Atl10"
2019,"Fordham","Atl10"
2020,"Fordham","Atl10"
2010,"Fresno State","WAC"
2011,"Fresno State","WAC"
2012,"Fresno State","WAC"
2013,"Fresno State","MWC"
2014,"Fresno State","MWC"
2015,"Fresno State","MWC"
2016,"Fresno State","MWC"
2017,"Fresno State","MWC"
2018,"Fresno State","MWC"
2019,"Fresno State","MWC"
2020,"Fresno State","MWC"
2010,"Furman","SoCon"
2011,"Furman","SoCon"
2012,"Furman","SoCon"
2013,"Furman","SoCon"
2014,"Furman","SoCon"
2015,"Furman","SoCon"
