V1,n.schools,match1,matchf,check
"<a href=../../../college/schools/profile.asp?T=20592>Mount Olive College</a> (Mount Olive, North Carolina), <a href=../../../college/schools/profile.asp?T=20298>Guilford College</a> (Greensboro, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20247>Galveston College</a> (Galveston, Texas), <a href=../../../college/schools/profile.asp?T=20261>Alvin Community College</a> (Alvin, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21206>Rockhurst University</a> (Kansas City, Missouri)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20477>University of Wisconsin-Stevens Point</a> (Stevens Point, Wisconsin), <a href=../../../college/schools/profile.asp?T=20284>University of Wisconsin-Oshkosh</a> (Oshkosh, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20423>Sonoma State University</a> (Rohnert Park, California), <a href=../../../college/schools/profile.asp?T=20727>College of San Mateo</a> (San Mateo, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21574>Mitchell College</a> (New London, Connecticut), <a href=../../../college/schools/profile.asp?T=21517>Keystone College</a> (La Plume, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20200>University of Tampa</a> (Tampa, Florida), <a href=../../../college/schools/profile.asp?T=20633>Tallahassee Community College</a> (Tallahassee, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21517>Keystone College</a> (La Plume, Pennsylvania), <a href=../../../college/schools/profile.asp?T=21521>Lackawanna College</a> (Scranton, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20290>University of Wisconsin-Whitewater</a> (Whitewater, Wisconsin), <a href=../../../college/schools/profile.asp?T=20477>University of Wisconsin-Stevens Point</a> (Stevens Point, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20974>Dowling College</a> (Oakdale, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20907>Wabash Valley College</a> (Mount Carmel, Illinois)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21660>Randolph-Macon College</a> (Ashland, Virginia)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21409>Concordia College</a> (Moorhead, Minnesota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21129>Bluefield College</a> (Bluefield, Virginia)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20862>South Mountain Community College</a> (Phoenix, Arizona)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21229>College of Staten Island</a> (Staten Island, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21456>George Fox University</a> (Newberg, Oregon)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21532>Louisiana College</a> (Pineville, Louisiana), <a href=../../../college/schools/profile.asp?T=21345>Belhaven College</a> (Jackson, Mississippi)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22122>New Jersey Institute of Technology</a> (Newark, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21127>Bellevue University</a> (Bellevue, Nebraska), <a href=../../../college/schools/profile.asp?T=20667>Wallace Community College</a> (Dothan, Alabama)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20560>Howard College</a> (Big Spring, Texas), <a href=../../../college/schools/profile.asp?T=21327>Angelo State University</a> (San Angelo, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21279>William Jewell College</a> (Liberty, Missouri)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21258>Ithaca College</a> (Ithaca, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22092>Middlebury College</a> (Middlebury, Vermont)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21517>Keystone College</a> (La Plume, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20493>Augsburg College</a> (Minneapolis, Minnesota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21823>Alice Lloyd College</a> (Pippa Passes, Kentucky)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20696>Grand Valley State University</a> (Allendale, Michigan), <a href=../../../college/schools/profile.asp?T=20806>St. Clair County Community College</a> (Port Huron, Michigan)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21995>Gateway Community College</a> (Phoenix, Arizona)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20672>Whitworth University</a> (Spokane, Washington)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21608>North Greenville College</a> (Tigerville, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20736>Eckerd College</a> (St. Petersburg, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21021>Feather River College</a> (Quincy, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20541>Faulkner University</a> (Montgomery, Alabama), <a href=../../../college/schools/profile.asp?T=21352>Bethel College</a> (McKenzie, Tennessee)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22296>University of Sioux Falls</a> (Sioux Falls, South Dakota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20027>Odessa College</a> (Odessa, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21294>Concord College</a> (Athens, West Virginia), <a href=../../../college/schools/profile.asp?T=21448>Frederick Community College</a> (Frederick, Maryland)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20818>El Camino-Compton Center</a> (Compton, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20592>Mount Olive College</a> (Mount Olive, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22150>Park University</a> (Parkville, Missouri)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21335>Babson College</a> (Wellesley, Massachusetts)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21072>St. Olaf College</a> (Northfield, Minnesota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21024>Felician College</a> (Lodi, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20343>Kutztown University</a> (Kutztown, Pennsylvania), <a href=../../../college/schools/profile.asp?T=21521>Lackawanna College</a> (Scranton, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20105>Cal State Dominguez Hills</a> (Carson, California), <a href=../../../college/schools/profile.asp?T=22355>Irvine Valley College</a> (Irvine, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20250>Spartanburg Methodist College</a> (Spartanburg, South Carolina), <a href=../../../college/schools/profile.asp?T=20922>Francis Marion University</a> (Florence, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20712>Erskine College</a> (Due West, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20002>Mercyhurst College</a> (Erie, Pennsylvania), <a href=../../../college/schools/profile.asp?T=20605>Quincy University</a> (Quincy, Illinois)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20069>New York Institute of Technology</a> (New York, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21517>Keystone College</a> (La Plume, Pennsylvania), <a href=../../../college/schools/profile.asp?T=21132>Brookdale Community College</a> (Lincroft, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20051>College of Saint Rose</a> (Albany, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20528>C.W. Post Campus/Long Island University</a> (Brookville, New York), <a href=../../../college/schools/profile.asp?T=20776>Nassau Community College</a> (Garden City, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20294>Southeastern Louisiana University</a> (Hammond, Louisiana)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20758>Muhlenberg College</a> (Allentown, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20572>Kean University</a> (Union, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20876>Rowan College at Gloucester County</a> (Sewell, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21024>Felician College</a> (Lodi, New Jersey), <a href=../../../college/schools/profile.asp?T=21714>St. Andrews University</a> (Laurinburg, North Carolina), <a href=../../../college/schools/profile.asp?T=21374>Camden County College</a> (Gloucester, New Jersey), <a href=../../../college/schools/profile.asp?T=20535>Dominican College</a> (Orangeburg, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20226>Santa Barbara City College</a> (Santa Barbara, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21061>Pomona-Pitzer Colleges</a> (Claremont, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22071>Lynn University</a> (Boca Raton, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20012>St. Petersburg College</a> (St. Petersburg, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21831>Asbury College</a> (Wilmore, Kentucky)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22247>Tiffin University</a> (Tiffin, Ohio), <a href=../../../college/schools/profile.asp?T=20575>Limestone College</a> (Gaffney, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20836>West Los Angeles College</a> (Culver City, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20809>UT Rio Grande Valley</a> (Edinburg, Texas), <a href=../../../college/schools/profile.asp?T=20490>Indian Hills Community College-Centerville</a> (Centerville, Iowa)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21004>Nova Southeastern University</a> (Fort Lauderdale, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20648>University of Louisiana at Lafayette</a> (Lafayette, Louisiana)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20476>University of Wisconsin-La Crosse</a> (La Crosse, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20523>Chico State</a> (Chico, California), <a href=../../../college/schools/profile.asp?T=20252>Yavapai College</a> (Prescott, Arizona)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20595>Northwood University</a> (Cedar Hill, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20259>Cowley College</a> (Arkansas City, Kansas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20386>Emporia State University</a> (Emporia, Kansas), <a href=../../../college/schools/profile.asp?T=20511>Barton County Community College</a> (Great Bend, Kansas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20234>San Jacinto College</a> (San Jacinto, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20883>The Master's College</a> (Santa Clarita, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20528>C.W. Post Campus/Long Island University</a> (Brookville, New York), <a href=../../../college/schools/profile.asp?T=20335>Monroe Community College</a> (Rochester, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20728>Glendale Community College</a> (Glendale, California), <a href=../../../college/schools/profile.asp?T=20096>Lewis-Clark State College</a> (Lewiston, Idaho)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22310>Vassar College</a> (Poughkeepsie, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20436>Trinity College</a> (Hartford, Connecticut)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21285>Tusculum College</a> (Tusculum, Tennessee), <a href=../../../college/schools/profile.asp?T=20876>Rowan College at Gloucester County</a> (Sewell, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20211>Alvernia University</a> (Reading, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20200>University of Tampa</a> (Tampa, Florida), <a href=../../../college/schools/profile.asp?T=20345>Hillsborough Community College</a> (Tampa, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22007>Heidelberg College</a> (Tiffin, Ohio)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21068>St. Catharine College</a> (St. Catharine, Kentucky), <a href=../../../college/schools/profile.asp?T=20725>Cuesta College</a> (San Luis Obispo, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20729>Pensacola State College</a> (Pensacola, Florida), <a href=../../../college/schools/profile.asp?T=20264>Spring Hill College</a> (Mobile, Alabama)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21569>Milligan College</a> (Elizabethton, Tennessee)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22196>Shepherd University</a> (Shepherdstown, West Virginia), <a href=../../../college/schools/profile.asp?T=20728>Glendale Community College</a> (Glendale, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20794>Pfeiffer University</a> (Misenheimer, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20587>Montclair State University</a> (Montclair, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22014>Hope International University</a> (Fullerton, California), <a href=../../../college/schools/profile.asp?T=20818>El Camino-Compton Center</a> (Compton, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20012>St. Petersburg College</a> (St. Petersburg, Florida), <a href=../../../college/schools/profile.asp?T=20592>Mount Olive College</a> (Mount Olive, North Carolina), <a href=../../../college/schools/profile.asp?T=20110>Chipola College</a> (Marianna, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22196>Shepherd University</a> (Shepherdstown, West Virginia)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20200>University of Tampa</a> (Tampa, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22415>Brunswick Community College</a> (Supply,NC)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20542>Flagler College</a> (St. Augustine, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22071>Lynn University</a> (Boca Raton, Florida), <a href=../../../college/schools/profile.asp?T=20075>Palm Beach State College</a> (Lake Worth, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21595>Neosho County Community College.</a> (Chanute, Kansas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20706>Bloomsburg University of Pennslyvania</a> (Bloomsburg, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21137>Catawba College</a> (Salisbury, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20321>Cal State Los Angeles</a> (Los Angeles, California), <a href=../../../college/schools/profile.asp?T=20105>Cal State Dominguez Hills</a> (Carson, California), <a href=../../../college/schools/profile.asp?T=20768>College of the Canyons</a> (Valencia, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21536>Lynchburg College</a> (Lynchburg, Pennsylvania), <a href=../../../college/schools/profile.asp?T=21131>Bridgewater College</a> (Bridgewater, Virginia)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20901>Pace University</a> (New York, New York), <a href=../../../college/schools/profile.asp?T=20934>Briarcliffe College</a> (Bethpage, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20105>Cal State Dominguez Hills</a> (Carson, California), <a href=../../../college/schools/profile.asp?T=20576>Long Beach City College</a> (Long Beach, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20699>Los Angeles Pierce College</a> (Woodland Hills, California), <a href=../../../college/schools/profile.asp?T=20321>Cal State Los Angeles</a> (Los Angeles, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20699>Los Angeles Pierce College</a> (Woodland Hills, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20003>Ramapo College of New Jersey</a> (Mahwah, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20624>Saint Leo University</a> (Saint Leo, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20785>Westmont College</a> (Montecito, California), <a href=../../../college/schools/profile.asp?T=22359>Southwestern College</a> (Chula Vista,CA)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21422>Dickinson College</a> (Carlisle, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20149>University of Montevallo</a> (Montevallo, Alabama)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20096>Lewis-Clark State College</a> (Lewiston, Idaho), <a href=../../../college/schools/profile.asp?T=20121>El Camino College</a> (Torrance, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22230>Sterling College</a> (Sterling, Kansas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20210>Viterbo University</a> (La Crosse, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22214>St. John Fisher College</a> (Rochester, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22193>Seton Hill University</a> (Greensburg, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20303>Biola University</a> (La Mirada, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20723>Anderson University</a> (Anderson, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21302>King's College</a> (Wilkes-Barre, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20837>Point Loma Nazarene University</a> (San Diego, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20526>Concordia College</a> (Bronxville, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20592>Mount Olive College</a> (Mount Olive, North Carolina), <a href=../../../college/schools/profile.asp?T=20704>Scottsdale Community College</a> (Scottsdale, Arizona)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20200>University of Tampa</a> (Tampa, Florida), <a href=../../../college/schools/profile.asp?T=20709>Santa Fe Community College</a> (Gainesville, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20230>University of St. Francis</a> (Joliet, Illinois)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21541>Manhattanville College</a> (Purchase, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20553>Freed-Hardeman University</a> (Henderson, Tennessee)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20482>Wayne State College (Nebraska)</a> (Wayne, Nebraska)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20347>University of Vermont</a> (Burlington, Vermont), <a href=../../../college/schools/profile.asp?T=20881>University at Albany</a> (Albany, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20911>University of Wisconsin-Milwaukee</a> (Milwaukee, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20903>Wheaton College</a> (Wheaton, Illinois)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20490>Indian Hills Community College-Centerville</a> (Centerville, Iowa)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20200>University of Tampa</a> (Tampa, Florida), <a href=../../../college/schools/profile.asp?T=20889>St. Johns River State College</a> (Palatka, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20363>University of St. Thomas</a> (St. Paul, Minnesota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20284>University of Wisconsin-Oshkosh</a> (Oshkosh, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21273>University of Dubuque</a> (Dubuque, Iowa)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22070>Louisiana State University-Eunice</a> (Eunice, Louisiana)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20809>UT Rio Grande Valley</a> (Edinburg, Texas), <a href=../../../college/schools/profile.asp?T=20869>Laredo Community College</a> (Laredo, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20542>Flagler College</a> (St. Augustine, Florida), <a href=../../../college/schools/profile.asp?T=21132>Brookdale Community College</a> (Lincroft, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20200>University of Tampa</a> (Tampa, Florida), <a href=../../../college/schools/profile.asp?T=20212>Polk State College</a> (Winter Haven, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20645>University of Dallas</a> (Dallas, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22226>State University of New York at Oswego</a> (Oswego, New York)",0,NA,NA,
